iter	Passed	Remaining
838	1716	329
839	1717	327
840	1719	325
841	1721	322
842	1722	320
843	1723	318
844	1725	316
845	1726	314
846	1730	312
847	1732	310
848	1734	308
849	1735	306
850	1737	304
851	1739	302
852	1740	299
853	1743	297
854	1744	295
855	1746	293
856	1747	291
857	1749	289
858	1750	287
859	1751	285
860	1753	283
861	1755	280
862	1756	278
863	1758	276
864	1760	274
865	1761	272
866	1763	270
867	1764	268
868	1766	266
869	1767	264
870	1768	261
871	1770	259
872	1773	257
873	1774	255
874	1775	253
875	1777	251
876	1778	249
877	1780	247
878	1781	245
879	1783	243
880	1787	241
881	1789	239
882	1790	237
883	1792	235
884	1793	233
885	1794	230
886	1796	228
887	1797	226
888	1799	224
889	1802	222
890	1803	220
891	1805	218
892	1806	216
893	1808	214
894	1809	212
895	1812	210
896	1814	208
897	1818	206
898	1821	204
899	1823	202
900	1826	200
901	1827	198
902	1829	196
903	1830	194
904	1833	192
905	1834	190
906	1836	188
907	1837	186
908	1839	184
909	1841	182
910	1843	180
911	1844	178
912	1847	176
913	1849	173
914	1850	171
915	1852	169
916	1853	167
917	1855	165
918	1856	163
919	1857	161
920	1858	159
921	1862	157
922	1863	155
923	1864	153
924	1865	151
925	1867	149
926	1868	147
927	1870	145
928	1871	143
929	1873	141
930	1874	138
931	1877	136
932	1879	134
933	1880	132
934	1882	130
935	1883	128
936	1884	126
937	1886	124
938	1887	122
939	1889	120
940	1892	118
941	1893	116
942	1894	114
943	1896	112
944	1898	110
945	1899	108
946	1901	106
947	1902	104
948	1903	102
949	1907	100
950	1908	98
951	1910	96
952	1911	94
953	1912	92
954	1914	90
955	1916	88
956	1917	86
957	1918	84
958	1921	82
959	1924	80
960	1925	78
961	1927	76
962	1928	74
963	1930	72
964	1931	70
965	1933	68
966	1935	66
967	1937	64
968	1938	62
969	1940	60
970	1941	57
971	1943	55
972	1944	53
973	1945	51
974	1947	49
975	1950	47
976	1952	45
977	1953	43
978	1954	41
979	1956	39
980	1958	37
981	1959	35
982	1961	33
983	1962	31
984	1965	29
985	1967	27
986	1969	25
987	1970	23
988	1972	21
989	1973	19
990	1975	17
991	1976	15
992	1979	13
993	1980	11
994	1982	9
995	1983	7
996	1985	5
997	1986	3
998	1988	1
999	1989	0
